"date","new_cases","new_deaths"
2020-02-21,17,1
2020-02-22,42,1
2020-02-23,93,1
2020-02-24,74,4
2020-02-25,93,3
2020-02-26,131,2
2020-02-27,202,5
2020-02-28,233,4
2020-02-29,240,8
2020-03-01,566,5
2020-03-02,342,18
2020-03-03,466,27
2020-03-04,587,28
2020-03-05,769,41
2020-03-06,778,49
2020-03-07,1247,36
2020-03-08,1492,133
2020-03-09,1797,97
2020-03-10,977,168
2020-03-11,2313,196
2020-03-12,2651,189
2020-03-13,2547,250
2020-03-14,3497,175
2020-03-15,3590,368
2020-03-16,3233,349
2020-03-17,3526,345
2020-03-18,4207,475
2020-03-19,5322,427
2020-03-20,5986,627
2020-03-21,6557,793
2020-03-22,5560,651
2020-03-23,4789,601
2020-03-24,5249,743
2020-03-25,5210,683
2020-03-26,6203,712
2020-03-27,5909,919
2020-03-28,5974,889
2020-03-29,5217,756
2020-03-30,4050,812
2020-03-31,4053,837
2020-04-01,4782,727
2020-04-02,4668,760
2020-04-03,4585,766
2020-04-04,4805,681
2020-04-05,4316,525
2020-04-06,3599,636
2020-04-07,3039,604
2020-04-08,3836,542
2020-04-09,4204,610
2020-04-10,3951,570
2020-04-11,4694,619
2020-04-12,4092,431
2020-04-13,3153,566
2020-04-14,2972,602
2020-04-15,2667,578
2020-04-16,3786,525
2020-04-17,3493,575
2020-04-18,3491,482
2020-04-19,3047,433
2020-04-20,2256,454
2020-04-21,2729,534
2020-04-22,3370,437
2020-04-23,2646,464
2020-04-24,3021,420
2020-04-25,2357,415
2020-04-26,2324,260
2020-04-27,1739,333
2020-04-28,2091,382
2020-04-29,2086,323
2020-04-30,1872,285
2020-05-01,1965,269
2020-05-02,1900,474
2020-05-03,1389,174
2020-05-04,1221,195
2020-05-05,1075,236
2020-05-06,1444,369
2020-05-07,1401,274
2020-05-08,1327,243
2020-05-09,1083,194
2020-05-10,802,165
2020-05-11,744,179
2020-05-12,1402,172
2020-05-13,888,195
2020-05-14,992,262
2020-05-15,789,242
2020-05-16,875,153
2020-05-17,675,145
2020-05-18,451,99
2020-05-19,813,162
2020-05-20,665,161
2020-05-21,642,156
2020-05-22,652,130
2020-05-23,669,119
2020-05-24,531,50
2020-05-25,300,92
2020-05-26,397,78
2020-05-27,584,117
2020-05-28,593,70
2020-05-29,516,87
2020-05-30,416,111
2020-05-31,333,75
2020-06-01,200,60
2020-06-02,318,55
2020-06-03,321,71
2020-06-04,177,88
2020-06-05,518,85
2020-06-06,270,72
2020-06-07,197,53
2020-06-08,280,65
2020-06-09,283,79
2020-06-10,202,71
2020-06-11,379,53
2020-06-12,163,56
2020-06-13,346,78
2020-06-14,338,44
2020-06-15,301,26
2020-06-16,210,34
2020-06-17,328,43
2020-06-18,331,66
2020-06-19,-148,47
2020-06-20,264,49
2020-06-21,224,24
2020-06-22,221,23
2020-06-23,113,18
2020-06-24,577,-31
2020-06-25,296,34
2020-06-26,255,30
2020-06-27,175,8
2020-06-28,174,22
2020-06-29,126,6
2020-06-30,142,23
2020-07-01,182,21
2020-07-02,201,30
2020-07-03,223,15
2020-07-04,235,21
2020-07-05,192,7
2020-07-06,208,8
2020-07-07,137,30
2020-07-08,193,15
2020-07-09,214,12
2020-07-10,276,12
2020-07-11,188,7
2020-07-12,234,9
2020-07-13,169,13
2020-07-14,114,17
2020-07-15,162,13
2020-07-16,230,20
2020-07-17,231,11
2020-07-18,249,14
2020-07-19,218,3
2020-07-20,190,13
2020-07-21,128,15
2020-07-22,280,9
2020-07-23,306,10
2020-07-24,252,5
2020-07-25,274,5
2020-07-26,254,5
2020-07-27,168,5
2020-07-28,202,11
2020-07-29,288,6
2020-07-30,382,3
2020-07-31,379,9
2020-08-01,295,5
2020-08-02,238,8
2020-08-03,159,12
2020-08-04,190,5
2020-08-05,384,10
2020-08-06,401,6
2020-08-07,552,3
2020-08-08,347,13
2020-08-09,463,2
2020-08-10,259,4
2020-08-11,412,6
2020-08-12,476,10
2020-08-13,522,6
2020-08-14,574,3
2020-08-15,629,158
2020-08-16,477,4
2020-08-17,320,4
2020-08-18,401,5
2020-08-19,642,7
2020-08-20,840,6
2020-08-21,947,9
2020-08-22,1071,3
2020-08-23,1209,7
2020-08-24,953,4
2020-08-25,876,4
2020-08-26,1366,13
2020-08-27,1409,5
2020-08-28,1460,9
2020-08-29,1444,1
2020-08-30,1365,4
2020-08-31,996,6
2020-09-01,975,8
2020-09-02,1326,6
2020-09-03,1397,10
2020-09-04,1732,11
2020-09-05,1694,16
2020-09-06,1296,7
2020-09-07,1150,12
2020-09-08,1369,10
2020-09-09,1430,14
2020-09-10,1597,10
2020-09-11,1616,10
2020-09-12,1501,6
2020-09-13,1456,7
2020-09-14,1008,14
2020-09-15,1229,9
2020-09-16,1452,12
2020-09-17,1583,13
2020-09-18,1907,10
2020-09-19,1637,24
2020-09-20,1587,15
2020-09-21,1350,17
2020-09-22,1391,14
2020-09-23,1640,20
2020-09-24,1786,23
2020-09-25,1912,20
2020-09-26,1869,17
2020-09-27,1766,17
2020-09-28,1494,16
2020-09-29,1647,24
2020-09-30,1850,19
2020-10-01,2548,24
2020-10-02,2499,23
2020-10-03,2843,27
2020-10-04,2578,18
2020-10-05,2257,16
2020-10-06,2677,28
2020-10-07,3677,31
2020-10-08,4458,22
2020-10-09,5372,28
2020-10-10,5724,29
2020-10-11,5456,26
2020-10-12,4619,39
2020-10-13,5898,41
2020-10-14,7332,43
2020-10-15,8803,83
2020-10-16,10009,55
2020-10-17,10925,47
2020-10-18,11705,69
2020-10-19,9337,73
2020-10-20,10871,89
2020-10-21,15199,127
2020-10-22,16078,136
2020-10-23,19143,91
2020-10-24,19640,151
2020-10-25,21273,128
2020-10-26,17007,141
2020-10-27,21989,221
2020-10-28,24988,205
2020-10-29,26829,217
2020-10-30,31079,199
2020-10-31,31756,297
2020-11-01,29905,208
2020-11-02,22253,233
2020-11-03,28241,353
2020-11-04,30548,352
2020-11-05,34502,428
2020-11-06,37802,446
2020-11-07,39809,425
2020-11-08,32614,331
2020-11-09,25269,356
2020-11-10,35090,580
2020-11-11,32961,623
2020-11-12,37977,636
2020-11-13,40902,550
2020-11-14,37249,544
2020-11-15,33977,546
2020-11-16,27352,504
2020-11-17,32191,731
2020-11-18,34280,753
2020-11-19,36176,653
2020-11-20,37239,699
2020-11-21,34764,692
2020-11-22,28337,562
2020-11-23,22927,630
2020-11-24,23227,853
2020-11-25,25852,722
2020-11-26,29001,822
2020-11-27,28342,827
2020-11-28,26315,686
2020-11-29,20646,541
2020-11-30,16376,672
2020-12-01,19347,785
2020-12-02,20709,684
2020-12-03,23219,993
2020-12-04,24110,814
2020-12-05,21052,662
2020-12-06,18887,564
2020-12-07,13679,528
2020-12-08,14837,634
2020-12-09,12755,499
2020-12-10,16998,887
2020-12-11,18726,761
2020-12-12,19902,649
2020-12-13,17937,484
2020-12-14,12025,491
2020-12-15,14839,846
2020-12-16,17568,680
2020-12-17,18233,683
2020-12-18,15401,674
2020-12-19,16305,553
2020-12-20,15102,352
2020-12-21,10869,415
2020-12-22,13316,628
2020-12-23,13908,553
2020-12-24,18039,505
2020-12-25,19037,459
2020-12-26,10405,261
2020-12-27,8937,305
2020-12-28,8581,445
2020-12-29,11210,659
2020-12-30,16202,575
2020-12-31,23477,555
2021-01-01,22210,462
2021-01-02,11825,364
2021-01-03,14245,347
2021-01-04,10798,348
2021-01-05,15375,649
2021-01-06,20326,548
2021-01-07,18416,414
2021-01-08,17529,620
2021-01-09,19976,483
2021-01-10,18625,361
2021-01-11,12530,448
2021-01-12,14242,616
2021-01-13,15773,507
2021-01-14,17243,522
2021-01-15,16144,477
2021-01-16,16310,475
2021-01-17,12544,377
2021-01-18,8825,377
2021-01-19,10496,603
2021-01-20,13568,524
2021-01-21,14055,521
2021-01-22,13633,472
2021-01-23,13331,488
2021-01-24,11628,299
2021-01-25,8559,420
2021-01-26,10584,541
2021-01-27,15191,467
2021-01-28,14360,492
2021-01-29,13563,477
2021-01-30,12713,421
2021-01-31,11249,237
2021-02-01,7925,329
2021-02-02,9651,499
2021-02-03,13182,476
2021-02-04,13656,421
2021-02-05,14213,377
2021-02-06,13439,385
2021-02-07,11640,270
2021-02-08,7969,307
2021-02-09,10612,422
2021-02-10,12947,336
2021-02-11,15137,391
2021-02-12,13893,316
2021-02-13,13523,311
2021-02-14,11060,221
2021-02-15,7344,258
2021-02-16,10368,336
2021-02-17,12066,369
2021-02-18,13755,347
2021-02-19,15470,348
2021-02-20,14914,251
2021-02-21,13450,232
2021-02-22,9617,274
2021-02-23,13299,356
2021-02-24,16402,318
2021-02-25,19871,308
2021-02-26,20488,253
2021-02-27,18902,280
2021-02-28,17440,192
2021-03-01,13106,246
2021-03-02,17063,343
2021-03-03,20840,347
2021-03-04,22845,339
2021-03-05,24010,297
2021-03-06,23633,307
2021-03-07,20724,207
2021-03-08,13882,318
2021-03-09,19725,376
2021-03-10,22275,332
2021-03-11,25649,373
2021-03-12,26790,380
2021-03-13,26031,317
2021-03-14,21304,264
2021-03-15,15252,354
2021-03-16,20376,502
2021-03-17,23040,431
2021-03-18,24901,423
2021-03-19,25707,386
2021-03-20,23913,401
2021-03-21,20045,300
2021-03-22,24501,386
2021-03-23,18739,551
2021-03-24,21246,460
2021-03-25,23681,460
2021-03-26,24076,457
2021-03-27,23834,380
2021-03-28,19604,297
2021-03-29,12900,417
2021-03-30,16055,529
2021-03-31,23887,467
2021-04-01,22184,501
2021-04-02,21917,481
2021-04-03,21247,376
2021-04-04,18017,326
2021-04-05,10680,296
2021-04-06,7763,421
2021-04-07,13686,627
2021-04-08,17209,487
2021-04-09,18924,718
2021-04-10,17551,344
2021-04-11,15737,331
2021-04-12,9780,358
2021-04-13,13439,476
2021-04-14,16160,469
2021-04-15,16963,380
2021-04-16,15923,429
2021-04-17,15364,310
2021-04-18,12688,251
2021-04-19,8863,316
2021-04-20,12069,390
2021-04-21,13836,364
2021-04-22,16046,360
2021-04-23,14758,342
2021-04-24,13814,322
2021-04-25,13157,217
2021-04-26,8440,301
2021-04-27,10398,373
2021-04-28,13382,344
2021-04-29,14314,288
2021-04-30,13445,263
2021-05-01,12964,226
2021-05-02,9145,144
2021-05-03,5946,256
2021-05-04,9113,305
2021-05-05,10579,267
2021-05-06,11798,258
2021-05-07,10549,207
2021-05-08,10174,224
2021-05-09,8289,139
2021-05-10,5077,198
2021-05-11,6943,251
2021-05-12,7848,262
2021-05-13,8082,201
